id;grn_code;collection_date;vehicle_number;src_of_materials;total_weight
1;Idaho;2022-06-16T00:59:37;Future Configurable;quantify;67628
2;XML Clothing standardization;2022-06-15T22:20:29;Chair embrace;Designer;72252
3;Corner;2022-06-15T23:47:52;Response Granite Savings;programming;38938
4;Oregon;2022-06-16T08:20:40;Beauty e-commerce;Books iterate;63868
5;directional Accounts real-time;2022-06-15T22:05:44;District Refined;Programmable Berkshire Agent;81217
6;markets pink;2022-06-15T14:55:37;Coordinator access;Legacy Tuna;59092
7;Bypass;2022-06-16T01:19:40;calculating Metal;Tasty Solutions revolutionary;55383
8;Developer Saudi;2022-06-15T10:36:27;Fresh Generic;deposit Austria;83947
9;Handcrafted;2022-06-15T18:03:13;Associate Awesome Mexican;Infrastructure;50101
10;bandwidth Towels transition;2022-06-15T14:18:44;approach Auto open-source;Bedfordshire Security Inverse;48512
